Features per frame = 150
Frame 0
963 521 0
743 214 0
934 703 0
74 371 0
701 133 0
770 200 0
948 617 0
762 208 0
916 482 0
1241 63 0
1253 31 0
78 360 0
918 464 0
81 477 0
1275 309 0
905 478 0
79 431 0
1277 24 0
1216 64 0
1125 7 0
1244 168 0
96 400 0
1266 21 0
1229 43 0
1258 58 0
501 684 0
1064 54 0
541 669 0
643 224 0
716 89 0
475 2 0
893 132 0
743 253 0
1220 173 0
989 24 0
1207 170 0
511 692 0
1219 284 0
548 661 0
1237 73 0
531 672 0
667 109 0
1051 62 0
1253 140 0
909 133 0
1234 148 0
1257 42 0
596 217 0
1112 351 0
661 83 0
1263 107 0
101 206 0
625 250 0
1103 63 0
80 380 0
100 347 0
339 176 0
1102 335 0
889 90 0
732 51 0
686 89 0
1267 35 0
224 144 0
1125 21 0
1106 6 0
1238 19 0
741 172 0
1232 194 0
893 122 0
959 169 0
780 250 0
51 605 0
976 20 0
522 658 0
724 230 0
922 511 0
1272 8 0
1006 21 0
321 176 0
565 191 0
208 163 0
673 144 0
961 158 0
697 155 0
732 279 0
1069 5 0
1262 422 0
61 432 0
1186 225 0
1 510 0
1121 63 0
754 51 0
1264 287 0
1136 308 0
1269 296 0
783 197 0
1103 36 0
659 221 0
716 271 0
30 194 0
96 360 0
644 666 0
1240 156 0
63 378 0
930 455 0
27 422 0
884 695 0
986 11 0
895 603 0
909 161 0
1270 70 0
727 210 0
827 107 0
557 146 0
1122 51 0
1274 52 0
518 145 0
631 192 0
572 154 0
755 127 0
815 146 0
1132 326 0
1114 374 0
820 191 0
707 224 0
1090 127 0
552 198 0
1142 211 0
706 55 0
1250 95 0
304 270 0
1273 166 0
1172 26 0
1149 72 0
790 146 0
561 159 0
535 139 0
812 238 0
782 174 0
696 94 0
896 102 0
735 259 0
635 245 0
1028 89 0
1206 82 0
562 217 0
703 167 0
1247 179 0
872 127 0
1206 144 0
Frame 1
965.727 521.253 0
745.73 212.747 0
936.619 703.654 0
75.2221 369.126 0
703.702 131.59 0
772.773 198.926 0
950.574 617.506 0
764.778 206.918 0
918.594 482.008 0
1246.13 61.9597 0
1258.33 29.8659 0
79.152 358.072 0
920.517 463.693 0
82.0464 474.943 0
1301.38 310.736 -1
907.567 477.828 0
80.3666 428.879 0
1283.54 22.9848 0
1221.2 63.0899 0
1129.88 5.54136 0
1248.92 167.46 0
97.347 398.17 0
1271.58 19.7316 0
1234.22 42.0768 0
1263.42 57.1097 0
500.698 683.446 0
1068.88 52.9157 0
540.824 668.643 0
645.249 222.666 0
719.138 87.5021 0
476.865 -0.190301 0
896.729 130.936 0
745.25 252.01 0
1224.87 172.571 0
993.673 22.8166 0
1211.78 169.452 0
510.657 691.459 0
1223.83 283.9 0
547.856 660.612 0
1242.19 72.1395 0
530.77 671.564 0
669.852 107.376 0
1055.73 60.854 0
1258.11 139.506 0
912.493 131.886 0
1238.94 147.631 0
1262.22 41.0303 0
598.405 215.81 0
1116.44 350.745 0
663.999 81.4046 0
1268.14 106.197 0
102.784 203.718 0
627.245 248.614 0
1107.78 61.8668 0
81.2225 378.209 0
101.178 345.109 0
340.627 174.388 0
1106.13 334.684 0
892.699 88.9605 0
735.049 49.4429 0
689.237 87.4784 0
1274.36 34.4611 0
225.932 142.146 0
1129.88 19.5995 0
1110.91 4.62567 0
1243.18 18.0434 0
743.728 170.37 0
1236.86 193.542 0
896.608 120.968 0
962.535 167.979 0
782.617 249.104 0
51.4862 603.08 0
980.563 18.6768 0
521.791 657.49 0
726.371 228.931 0
924.532 511.086 0
1277.61 6.50521 0
1010.59 19.5445 0
322.852 174.131 0
566.945 189.448 0
210.165 160.84 0
675.807 142.505 0
964.652 156.921 0
699.605 153.483 0
734.121 278.001 0
1073.92 3.64255 0
1266.53 422.439 0
62.4344 429.837 0
1190.71 224.954 0
1.94536 508.316 0
1125.68 61.6845 0
757.554 49.5422 0
1268.58 287.067 0
1140.28 307.616 0
1290.04 296.69 -1
785.75 195.994 0
1107.87 34.8112 0
661.266 219.773 0
718.414 270.215 0
31.7893 191.689 0
97.3129 357.833 0
645.367 665.253 0
1244.85 155.576 0
64.1545 376.002 0
932.353 454.912 0
28.0335 419.633 0
886.336 695.397 0
990.662 9.62407 0
897.495 603.233 0
912.548 160.073 0
1276.02 69.4756 0
729.739 208.745 0
830.275 105.542 0
559.299 144.446 0
1126.75 49.5595 0
1290.43 51.0847 -1
520.317 143.353 0
633.413 190.686 0
